date,store_id,product_id,quantity,revenue,cost
2025-07-12,1,18,8,2080000.0,480842.89260685095
2025-07-12,1,3,6,7440000.0,2205393.3839220423
2025-07-12,1,21,4,1480000.0,351687.71060999704
2025-07-12,1,27,1,390000.0,111427.22514025032
2025-07-12,1,16,6,2220000.0,519530.8853797276
2025-07-12,1,6,13,18460000.0,5377448.564562513
2025-07-12,1,17,5,2550000.0,675369.5454446012
2025-07-12,1,1,3,5490000.0,1610000.4962976896
2025-07-12,1,12,14,2380000.0,543628.5894431989
2025-07-12,1,13,5,3300000.0,964461.8863205102
2025-07-12,1,19,8,3840000.0,1136289.4032432435
2025-07-12,1,8,9,5580000.0,1184794.3577757059
2025-07-12,1,29,5,2450000.0,525565.0616977904
2025-07-12,1,28,1,360000.0,89132.60427442756
2025-07-12,1,24,1,360000.0,85789.4125718022
2025-07-12,1,2,9,9720000.0,2194383.7351127267
2025-07-12,1,23,4,680000.0,166013.2958261995
2025-07-12,1,15,4,2960000.0,734710.2062694217
2025-07-12,1,4,3,3540000.0,991574.5626535661
2025-07-12,1,7,1,370000.0,98656.50788142317
2025-07-12,1,26,8,2240000.0,634909.5455115222
2025-07-12,1,11,1,1190000.0,299063.81324891315
2025-07-12,1,14,1,760000.0,189970.51279292864
2025-07-12,1,5,6,9900000.0,1983139.4055877412
2025-07-12,1,20,5,2400000.0,586571.585755291
2025-07-12,1,9,9,10260000.0,2336917.505010117
2025-07-12,1,25,6,4680000.0,1302614.5660445893
2025-07-12,1,22,5,1850000.0,553421.4689899889
2025-07-12,2,25,6,4680000.0,1302614.5660445893
2025-07-12,2,7,9,3330000.0,887908.5709328086
2025-07-12,2,1,7,12810000.0,3756667.8246946093
2025-07-12,2,23,2,340000.0,83006.64791309975
2025-07-12,2,8,12,7440000.0,1579725.810367608
2025-07-12,2,21,6,2220000.0,527531.5659149955
2025-07-12,2,13,4,2640000.0,771569.5090564082
2025-07-12,2,15,8,5920000.0,1469420.4125388435
2025-07-12,2,12,12,2040000.0,465967.3623798847
2025-07-12,2,17,6,3060000.0,810443.4545335216
2025-07-12,2,28,9,3240000.0,802193.438469848
2025-07-12,2,4,13,15340000.0,4296823.10483212
2025-07-12,2,18,2,520000.0,120210.72315171274
2025-07-12,2,29,9,4410000.0,946017.1110560228
2025-07-12,2,30,7,1960000.0,421730.20202541107
2025-07-12,2,2,12,12960000.0,2925844.9801503024
2025-07-12,2,19,6,2880000.0,852217.0524324325
2025-07-12,2,10,4,1080000.0,217579.75410501583
2025-07-12,2,20,1,480000.0,117314.31715105822
2025-07-12,3,4,7,8260000.0,2313673.9795249877
2025-07-12,3,26,1,280000.0,79363.69318894028
2025-07-12,3,5,4,6600000.0,1322092.9370584942
2025-07-12,3,18,1,260000.0,60105.36157585637
2025-07-12,3,12,3,510000.0,116491.84059497117
2025-07-12,3,3,10,12400000.0,3675655.639870071
2025-07-12,3,19,7,3360000.0,994253.227837838
2025-07-12,3,15,4,2960000.0,734710.2062694217
2025-07-12,3,9,12,13680000.0,3115890.006680156
2025-07-12,3,23,4,680000.0,166013.2958261995
2025-07-12,3,24,7,2520000.0,600525.8880026154
2025-07-12,3,6,6,8520000.0,2481899.3374903905
2025-07-12,4,27,1,390000.0,111427.22514025032
2025-07-12,4,24,5,1800000.0,428947.062859011
2025-07-12,4,11,9,10710000.0,2691574.3192402185
2025-07-12,4,17,2,1020000.0,270147.8181778405
2025-07-12,4,15,1,740000.0,183677.55156735543
2025-07-12,4,18,1,260000.0,60105.36157585637
2025-07-12,4,26,2,560000.0,158727.38637788055
2025-07-12,4,13,6,3960000.0,1157354.2635846124
2025-07-12,4,3,12,14880000.0,4410786.767844085
2025-07-12,4,19,8,3840000.0,1136289.4032432435
2025-07-12,4,14,7,5320000.0,1329793.5895505005
2025-07-12,4,21,4,1480000.0,351687.71060999704
2025-07-12,4,1,9,16470000.0,4830001.488893069
2025-07-12,4,28,3,1080000.0,267397.8128232827
2025-07-12,5,28,9,3240000.0,802193.438469848
2025-07-12,5,20,4,1920000.0,469257.2686042329
2025-07-12,5,27,4,1560000.0,445708.90056100127
2025-07-12,5,8,14,8680000.0,1843013.445428876
2025-07-12,5,12,12,2040000.0,465967.3623798847
2025-07-12,5,30,9,2520000.0,542224.5454612428
2025-07-12,5,18,6,1560000.0,360632.1694551382
2025-07-12,5,17,5,2550000.0,675369.5454446012
2025-07-12,5,29,1,490000.0,105113.01233955809
2025-07-12,5,10,9,2430000.0,489554.44673628564
2025-07-12,5,6,13,18460000.0,5377448.564562513
2025-07-12,5,9,9,10260000.0,2336917.505010117
2025-07-12,5,11,14,16660000.0,4186893.385484784
2025-07-12,5,21,3,1110000.0,263765.78295749775
2025-07-12,5,26,8,2240000.0,634909.5455115222
2025-07-12,5,2,3,3240000.0,731461.2450375756
2025-07-12,5,19,4,1920000.0,568144.7016216217
2025-07-12,5,3,10,12400000.0,3675655.639870071
2025-07-12,5,24,5,1800000.0,428947.062859011
2025-07-12,5,5,10,16500000.0,3305232.3426462356
2025-07-12,5,14,8,6080000.0,1519764.102343429
2025-07-12,5,16,3,1110000.0,259765.4426898638
2025-07-12,5,13,8,5280000.0,1543139.0181128164
2025-07-12,5,1,9,16470000.0,4830001.488893069
2025-07-12,5,25,7,5460000.0,1519716.9937186874
2025-07-12,5,23,4,680000.0,166013.2958261995
2025-07-12,6,18,7,1820000.0,420737.5310309946
2025-07-12,6,26,5,1400000.0,396818.4659447014
2025-07-12,6,19,7,3360000.0,994253.227837838
2025-07-12,6,30,8,2240000.0,481977.3737433269
2025-07-12,6,27,6,2340000.0,668563.350841502
2025-07-12,6,28,9,3240000.0,802193.438469848
2025-07-12,6,5,9,14850000.0,2974709.1083816118
2025-07-12,6,17,7,3570000.0,945517.3636224418
2025-07-12,6,13,8,5280000.0,1543139.0181128164
2025-07-12,6,11,4,4760000.0,1196255.2529956526
2025-07-12,6,23,7,1190000.0,290523.2676958491
2025-07-12,7,8,6,3720000.0,789862.905183804
2025-07-12,7,10,10,2700000.0,543949.3852625396
2025-07-12,7,19,4,1920000.0,568144.7016216217
2025-07-12,7,1,1,1830000.0,536666.8320992299
2025-07-12,7,17,4,2040000.0,540295.636355681
2025-07-12,7,28,5,1800000.0,445663.0213721378
2025-07-12,7,14,6,4560000.0,1139823.076757572
2025-07-12,7,22,5,1850000.0,553421.4689899889
2025-07-12,7,2,7,7560000.0,1706742.9050876764
2025-07-12,7,7,12,4440000.0,1183878.094577078
2025-07-12,7,21,8,2960000.0,703375.4212199941
2025-07-12,7,20,9,4320000.0,1055828.8543595239
2025-07-12,7,25,9,7020000.0,1953921.8490668838
2025-07-12,7,5,7,11550000.0,2313662.639852365
2025-07-12,8,21,8,2960000.0,703375.4212199941
2025-07-12,8,15,8,5920000.0,1469420.4125388435
2025-07-12,8,28,6,2160000.0,534795.6256465653
2025-07-12,8,19,6,2880000.0,852217.0524324325
2025-07-12,8,25,8,6240000.0,1736819.4213927856
2025-07-12,8,5,8,13200000.0,2644185.8741169884
2025-07-12,8,9,10,11400000.0,2596575.0055667968
2025-07-12,8,17,12,6120000.0,1620886.909067043
2025-07-12,8,1,2,3660000.0,1073333.6641984598
2025-07-12,8,4,2,2360000.0,661049.7084357108
2025-07-12,8,27,1,390000.0,111427.22514025032
2025-07-12,8,14,12,9120000.0,2279646.153515144
2025-07-12,8,7,4,1480000.0,394626.03152569267
2025-07-12,8,26,3,840000.0,238091.07956682082
2025-07-12,8,6,4,5680000.0,1654599.558326927
2025-07-12,8,20,8,3840000.0,938514.5372084657
2025-07-12,8,11,6,7140000.0,1794382.879493479
2025-07-12,8,30,3,840000.0,180741.5151537476
2025-07-12,8,12,6,1020000.0,232983.68118994235
2025-07-12,8,16,2,740000.0,173176.96179324252
2025-07-12,8,23,7,1190000.0,290523.2676958491
2025-07-12,8,3,4,4960000.0,1470262.2559480283
2025-07-12,8,29,1,490000.0,105113.01233955809
2025-07-12,9,24,4,1440000.0,343157.6502872088
2025-07-12,9,12,9,1530000.0,349475.5217849135
2025-07-12,9,5,1,1650000.0,330523.23426462355
2025-07-12,9,13,12,7920000.0,2314708.527169225
2025-07-12,9,8,3,1860000.0,394931.452591902
2025-07-12,9,20,5,2400000.0,586571.585755291
2025-07-12,9,15,7,5180000.0,1285742.860971488
2025-07-12,9,6,7,9940000.0,2895549.2270721225
2025-07-12,9,3,1,1240000.0,367565.5639870071
2025-07-12,9,17,7,3570000.0,945517.3636224418
2025-07-12,9,28,10,3600000.0,891326.0427442756
2025-07-12,9,26,1,280000.0,79363.69318894028
2025-07-12,9,14,1,760000.0,189970.51279292864
2025-07-12,9,11,4,4760000.0,1196255.2529956526
2025-07-12,9,19,1,480000.0,142036.17540540543
2025-07-12,9,1,7,12810000.0,3756667.8246946093
2025-07-12,9,27,5,1950000.0,557136.1257012516
2025-07-12,10,12,6,1020000.0,232983.68118994235
2025-07-12,10,24,4,1440000.0,343157.6502872088
2025-07-12,10,23,5,850000.0,207516.61978274936
2025-07-12,10,17,9,4590000.0,1215665.1818002823
2025-07-12,10,30,1,280000.0,60247.171717915866
2025-07-12,10,26,8,2240000.0,634909.5455115222
2025-07-12,10,27,10,3900000.0,1114272.251402503
2025-07-12,10,16,4,1480000.0,346353.92358648503
2025-07-12,10,11,10,11900000.0,2990638.1324891318
2025-07-12,10,9,1,1140000.0,259657.50055667968
2025-07-12,10,3,4,4960000.0,1470262.2559480283
2025-07-12,10,5,2,3300000.0,661046.4685292471
2025-07-12,10,10,8,2160000.0,435159.50821003166
2025-07-12,11,24,8,2880000.0,686315.3005744176
2025-07-12,11,17,5,2550000.0,675369.5454446012
2025-07-12,11,15,11,8140000.0,2020453.0672409097
2025-07-12,11,20,2,960000.0,234628.63430211644
2025-07-12,11,14,2,1520000.0,379941.0255858573
2025-07-12,11,27,6,2340000.0,668563.350841502
2025-07-12,11,25,5,3900000.0,1085512.138370491
2025-07-12,11,26,10,2800000.0,793636.9318894028
2025-07-12,11,11,9,10710000.0,2691574.3192402185
2025-07-12,11,22,9,3330000.0,996158.64418198
2025-07-12,11,4,5,5900000.0,1652624.2710892768
2025-07-12,11,8,6,3720000.0,789862.905183804
2025-07-12,11,5,7,11550000.0,2313662.639852365
2025-07-12,11,9,10,11400000.0,2596575.0055667968
2025-07-12,11,30,8,2240000.0,481977.3737433269
2025-07-12,11,6,7,9940000.0,2895549.2270721225
2025-07-12,12,8,1,620000.0,131643.817530634
2025-07-12,12,24,4,1440000.0,343157.6502872088
2025-07-12,12,5,1,1650000.0,330523.23426462355
2025-07-12,12,16,11,4070000.0,952473.2898628338
2025-07-12,12,21,5,1850000.0,439609.63826249633
2025-07-12,12,6,4,5680000.0,1654599.558326927
2025-07-12,12,23,7,1190000.0,290523.2676958491
2025-07-12,12,17,4,2040000.0,540295.636355681
2025-07-12,12,26,11,3080000.0,873000.6250783431
2025-07-12,12,3,6,7440000.0,2205393.3839220423
2025-07-12,12,4,1,1180000.0,330524.8542178554
2025-07-12,12,25,5,3900000.0,1085512.138370491
2025-07-12,12,9,4,4560000.0,1038630.0022267187
2025-07-12,12,12,8,1360000.0,310644.90825325646
2025-07-12,12,2,1,1080000.0,243820.4150125252
2025-07-12,12,14,9,6840000.0,1709734.6151363577
2025-07-12,12,15,5,3700000.0,918387.7578367771
2025-07-12,12,1,6,10980000.0,3220000.9925953792
2025-07-12,12,10,9,2430000.0,489554.44673628564
2025-07-12,12,27,1,390000.0,111427.22514025032
2025-07-12,13,26,9,2520000.0,714273.2387004625
2025-07-12,13,22,13,4810000.0,1438895.8193739713
2025-07-12,13,19,3,1440000.0,426108.52621621627
2025-07-12,13,20,12,5760000.0,1407771.8058126986
2025-07-12,13,11,1,1190000.0,299063.81324891315
2025-07-12,13,25,10,7800000.0,2171024.276740982
2025-07-12,13,10,5,1350000.0,271974.6926312698
2025-07-12,13,8,3,1860000.0,394931.452591902
2025-07-12,13,29,9,4410000.0,946017.1110560228
2025-07-12,13,9,2,2280000.0,519315.00111335935
2025-07-12,13,27,4,1560000.0,445708.90056100127
2025-07-12,13,21,13,4810000.0,1142985.0594824904
2025-07-12,13,7,1,370000.0,98656.50788142317
2025-07-12,13,2,10,10800000.0,2438204.150125252
2025-07-12,13,13,9,5940000.0,1736031.3953769184
2025-07-12,13,28,6,2160000.0,534795.6256465653
2025-07-12,13,24,13,4680000.0,1115262.3634334286
2025-07-12,13,18,1,260000.0,60105.36157585637
2025-07-12,13,12,6,1020000.0,232983.68118994235
2025-07-12,13,5,10,16500000.0,3305232.3426462356
2025-07-12,13,15,6,4440000.0,1102065.3094041327
2025-07-12,13,30,14,3920000.0,843460.4040508221
2025-07-12,13,6,6,8520000.0,2481899.3374903905
2025-07-12,13,17,6,3060000.0,810443.4545335216
2025-07-12,13,3,11,13640000.0,4043221.2038570778
2025-07-12,14,15,9,6660000.0,1653097.9641061989
2025-07-12,14,21,12,4440000.0,1055063.131829991
2025-07-12,14,29,1,490000.0,105113.01233955809
2025-07-12,14,22,6,2220000.0,664105.7627879868
2025-07-12,14,2,6,6480000.0,1462922.4900751512
2025-07-12,14,12,11,1870000.0,427136.74884822767
2025-07-12,14,1,5,9150000.0,2683334.1604961497
2025-07-12,14,18,9,2340000.0,540948.2541827073
2025-07-12,14,19,3,1440000.0,426108.52621621627
2025-07-12,14,30,10,2800000.0,602471.7171791587
2025-07-12,14,23,12,2040000.0,498039.8874785985
2025-07-12,14,5,10,16500000.0,3305232.3426462356
2025-07-12,14,4,6,7080000.0,1983149.1253071323
2025-07-12,14,13,4,2640000.0,771569.5090564082
2025-07-12,14,17,1,510000.0,135073.90908892025
2025-07-12,14,6,11,15620000.0,4550148.7853990495
2025-07-12,14,7,2,740000.0,197313.01576284633
2025-07-12,14,24,4,1440000.0,343157.6502872088
2025-07-12,14,26,1,280000.0,79363.69318894028
2025-07-12,14,27,14,5460000.0,1559981.1519635045
2025-07-12,14,25,9,7020000.0,1953921.8490668838
2025-07-12,14,10,3,810000.0,163184.81557876186
2025-07-12,14,14,7,5320000.0,1329793.5895505005
2025-07-12,15,16,6,2220000.0,519530.8853797276
2025-07-12,15,18,2,520000.0,120210.72315171274
2025-07-12,15,12,3,510000.0,116491.84059497117
2025-07-12,15,3,11,13640000.0,4043221.2038570778
2025-07-12,15,9,7,7980000.0,1817602.5038967577
2025-07-12,15,4,6,7080000.0,1983149.1253071323
2025-07-12,15,11,3,3570000.0,897191.4397467395
2025-07-12,15,23,9,1530000.0,373529.91560894885
2025-07-12,15,28,3,1080000.0,267397.8128232827
2025-07-12,15,17,9,4590000.0,1215665.1818002823
2025-07-12,15,1,10,18300000.0,5366668.320992299
2025-07-12,15,5,11,18150000.0,3635755.576910859
2025-07-12,15,29,1,490000.0,105113.01233955809
2025-07-12,15,15,2,1480000.0,367355.10313471087
2025-07-12,15,10,11,2970000.0,598344.3237887935
2025-07-12,15,2,10,10800000.0,2438204.150125252
2025-07-12,15,6,2,2840000.0,827299.7791634635
2025-07-12,15,19,6,2880000.0,852217.0524324325
2025-07-12,15,13,8,5280000.0,1543139.0181128164
2025-07-12,15,21,7,2590000.0,615453.4935674948
2025-07-12,15,8,3,1860000.0,394931.452591902
2025-07-12,15,20,1,480000.0,117314.31715105822
2025-07-12,15,14,7,5320000.0,1329793.5895505005
2025-07-12,15,27,9,3510000.0,1002845.0262622528
2025-07-12,15,30,6,1680000.0,361483.0303074952
2025-07-12,15,7,6,2220000.0,591939.047288539
2025-07-12,15,26,7,1960000.0,555545.8523225819
2025-07-12,16,1,7,12810000.0,3756667.8246946093
2025-07-12,16,22,9,3330000.0,996158.64418198
2025-07-12,16,30,4,1120000.0,240988.68687166346
2025-07-12,16,24,7,2520000.0,600525.8880026154
2025-07-12,16,10,11,2970000.0,598344.3237887935
2025-07-12,16,26,14,3920000.0,1111091.7046451638
2025-07-12,16,29,6,2940000.0,630678.0740373485
2025-07-12,16,14,7,5320000.0,1329793.5895505005
2025-07-12,16,2,5,5400000.0,1219102.075062626
2025-07-12,16,6,10,14200000.0,4136498.8958173175
2025-07-12,16,12,10,1700000.0,388306.1353165706
2025-07-12,16,18,8,2080000.0,480842.89260685095
2025-07-12,16,11,5,5950000.0,1495319.0662445659
2025-07-12,16,20,10,4800000.0,1173143.171510582
2025-07-12,16,5,2,3300000.0,661046.4685292471
2025-07-12,16,23,3,510000.0,124509.97186964963
2025-07-12,16,3,5,6200000.0,1837827.8199350354
2025-07-12,16,15,6,4440000.0,1102065.3094041327
2025-07-12,16,25,10,7800000.0,2171024.276740982
