,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,,47913.67685117372,34188.649520037616,34115.04606427241,44444.603964513175,17604.24137390806,7738.838000015383,721590.3818670203,717492.5303936574,717740.8331116994,717222.6108746119,715036.8110669154,1345275.9424794174,1361356.3028120152,1363684.4222226657,1361111.455917585,1355836.657130244,1366497.9103531167,1356767.1742330596,1343944.410272664
2,47913.67685117372,,30526.74567000565,14876.176810603156,17779.54913131112,31030.064761664238,50214.16571979253,745522.8748629498,741438.1710281356,741674.923759269,741169.405248374,738970.104728533,1367479.2802221738,1383475.3737999198,1385711.8293203565,1383313.3140933372,1378021.6385924325,1388572.3864527375,1378931.508779164,1366050.204782951
3,34188.649520037616,30526.74567000565,,18533.012013148047,40962.506220176605,27317.58559517277,31513.121295145018,734383.4846451205,730450.4577204465,730551.5360511224,730198.7258849388,727839.1798563666,1353484.5954636594,1369424.6421624979,1371603.1947346623,1369317.237335613,1364014.3580562987,1374493.0510901005,1364910.4755730766,1351991.350712863
4,34115.04606427241,14876.176810603156,18533.012013148047,,22453.64860645753,18777.707793246038,35638.57365590835,738368.3018505963,734313.533568282,734523.4067781555,734048.1958003455,731817.0754634609,1360055.4347710062,1376056.1008150394,1378298.0929710863,1375889.5608365054,1370598.7513177393,1381155.7394639757,1371509.7180980805,1358631.6748074002
5,44444.603964513175,17779.54913131112,40962.506220176605,22453.64860645753,,27168.91320711507,49263.25803768769,742617.8757616881,738413.5297460511,738757.68137415,738131.4497761109,736059.2820682018,1367497.525328497,1383575.292092346,1385898.5609310113,1383333.0159727556,1378057.8357907373,1388714.7989916478,1378987.7871082048,1366162.8065337008
6,17604.24137390806,31030.064761664238,27317.58559517277,18777.707793246038,27168.91320711507,,22125.429971447968,730246.3285296285,726124.1437644018,726394.3567574815,725851.3948327649,723691.5752129846,1353967.9508809492,1370035.0685689978,1372348.2444701798,1369803.2805168843,1364525.8397508932,1375169.4809339426,1365453.1207715676,1352620.9871488765
7,7738.838000015383,50214.16571979253,31513.121295145018,35638.57365590835,49263.25803768769,22125.429971447968,,720562.7637471531,716520.1229436386,716718.9632978585,716256.3720657293,714012.0942796576,1343050.8431041301,1359101.806070572,1361398.815974739,1358885.9111420698,1353605.115686108,1364228.1806038024,1354528.381282292,1341685.2555523054
8,721590.3818670203,745522.8748629498,734383.4846451205,738368.3018505963,742617.8757616881,730246.3285296285,720562.7637471531,,22718.072576659826,8005.211268716699,25115.142127487834,13151.613935429672,707891.5246732094,727282.4347408502,734103.093993056,722848.376280564,718747.6363556792,734363.6490175758,720673.7246235,711644.8079763224
9,717492.5303936574,741438.1710281356,730450.4577204465,734313.533568282,738413.5297460511,726124.1437644018,716520.1229436386,22718.072576659826,,18952.02740807089,2417.154172755568,20608.338771769755,717851.5327484456,737288.8998042842,744194.5474611627,732768.1656896092,728699.4069737892,744402.0432197722,730645.0079469365,721709.9338646667
10,717740.8331116994,741674.923759269,730551.5360511224,734523.4067781555,738757.68137415,726394.3567574815,716718.9632978585,8005.211268716699,18952.02740807089,,21323.61904062899,5519.747955000855,711560.4880251773,730937.2706384049,737731.0757802908,726528.8332150864,722418.8963171093,738008.5540766084,724339.215030562,715281.5237540676
